game,mode,strength,draws,avg_crowd_index,crowd_reduction_pct,mean_best_hits,p3plus,p4plus,p5plus,model_utility_ratio
6/49,649_k22_4,0.0,13,98.321152,0.000000,1.769231,0.230769,0.000000,0.000000,1.000000
6/49,649_k22_4,0.1,13,97.880472,0.004482,1.846154,0.230769,0.000000,0.000000,0.996844
6/49,649_k22_4,0.2,13,97.459837,0.008760,1.769231,0.230769,0.000000,0.000000,0.989341
6/49,649_k22_4,0.3,13,97.132573,0.012089,1.769231,0.230769,0.000000,0.000000,0.975559
6/49,649_k22_6,0.0,13,97.462217,0.000000,1.846154,0.230769,0.000000,0.000000,1.000000
6/49,649_k22_6,0.1,13,96.366457,0.011243,1.846154,0.153846,0.000000,0.000000,0.992410
6/49,649_k22_6,0.2,13,95.514342,0.019986,1.923077,0.153846,0.076923,0.000000,0.973978
6/49,649_k22_6,0.3,13,95.112668,0.024107,1.923077,0.230769,0.000000,0.000000,0.956639
6/42,642_18,0.0,13,99.724798,0.000000,2.615385,0.615385,0.000000,0.000000,1.000000
6/42,642_18,0.1,13,98.825445,0.009018,2.615385,0.461538,0.153846,0.000000,0.992530
6/42,642_18,0.2,13,98.676819,0.010509,2.615385,0.538462,0.076923,0.000000,0.981183
6/42,642_18,0.3,13,98.578397,0.011496,2.692308,0.538462,0.153846,0.000000,0.975850
6/42,642_30,0.0,13,99.643325,0.000000,2.846154,0.846154,0.000000,0.000000,1.000000
6/42,642_30,0.1,13,98.459418,0.011881,3.000000,0.769231,0.153846,0.076923,0.997798
6/42,642_30,0.2,13,98.306323,0.013418,2.692308,0.615385,0.076923,0.000000,0.991765
6/42,642_30,0.3,13,98.226976,0.014214,2.769231,0.692308,0.076923,0.000000,0.986532
6/42,642_50,0.0,13,99.756296,0.000000,3.153846,0.923077,0.230769,0.000000,1.000000
6/42,642_50,0.1,13,99.182065,0.005756,2.923077,0.769231,0.153846,0.000000,0.997619
6/42,642_50,0.2,13,99.108238,0.006496,2.846154,0.769231,0.076923,0.000000,0.991659
6/42,642_50,0.3,13,99.066921,0.006911,2.769231,0.692308,0.076923,0.000000,0.986361
