snapshot_draw,snapshot_date,unique_coverage_pct,total_combinations,number,played_count,played_vs_mean,popularity_rank,all_time_drawn_count
62,2026-08-09,3.66,13983816,1,85904,1.014056,24,1253
62,2026-08-09,3.66,13983816,2,86371,1.019569,22,1226
62,2026-08-09,3.66,13983816,3,109163,1.288618,3,1184
62,2026-08-09,3.66,13983816,4,96478,1.138877,14,1279
62,2026-08-09,3.66,13983816,5,104892,1.238200,5,1223
62,2026-08-09,3.66,13983816,6,98992,1.168554,9,1277
62,2026-08-09,3.66,13983816,7,121273,1.431570,1,1218
62,2026-08-09,3.66,13983816,8,93716,1.106273,16,1249
62,2026-08-09,3.66,13983816,9,109754,1.295594,2,1255
62,2026-08-09,3.66,13983816,10,93393,1.102460,18,1204
62,2026-08-09,3.66,13983816,11,102625,1.211440,7,1276
62,2026-08-09,3.66,13983816,12,97841,1.154967,11,1253
62,2026-08-09,3.66,13983816,13,101963,1.203625,8,1217
62,2026-08-09,3.66,13983816,14,75300,0.888881,34,1210
62,2026-08-09,3.66,13983816,15,75235,0.888114,35,1222
62,2026-08-09,3.66,13983816,16,85972,1.014859,23,1203
62,2026-08-09,3.66,13983816,17,105950,1.250690,4,1271
62,2026-08-09,3.66,13983816,18,104096,1.228804,6,1198
62,2026-08-09,3.66,13983816,19,98150,1.158614,10,1192
62,2026-08-09,3.66,13983816,20,81224,0.958811,28,1223
62,2026-08-09,3.66,13983816,21,85455,1.008756,25,1291
62,2026-08-09,3.66,13983816,22,78283,0.924094,30,1251
62,2026-08-09,3.66,13983816,23,95780,1.130638,15,1170
62,2026-08-09,3.66,13983816,24,96731,1.141864,12,1243
62,2026-08-09,3.66,13983816,25,96669,1.141132,13,1244
62,2026-08-09,3.66,13983816,26,92126,1.087504,20,1220
62,2026-08-09,3.66,13983816,27,93621,1.105152,17,1201
62,2026-08-09,3.66,13983816,28,83769,0.988853,26,1254
62,2026-08-09,3.66,13983816,29,70551,0.832821,38,1259
62,2026-08-09,3.66,13983816,30,81246,0.959071,27,1249
62,2026-08-09,3.66,13983816,31,88830,1.048596,21,1180
62,2026-08-09,3.66,13983816,32,80024,0.944645,29,1206
62,2026-08-09,3.66,13983816,33,92830,1.095814,19,1232
62,2026-08-09,3.66,13983816,34,76234,0.899906,31,1295
62,2026-08-09,3.66,13983816,35,65060,0.768003,44,1246
62,2026-08-09,3.66,13983816,36,58987,0.696314,49,1226
62,2026-08-09,3.66,13983816,37,75311,0.889011,33,1281
62,2026-08-09,3.66,13983816,38,75458,0.890746,32,1234
62,2026-08-09,3.66,13983816,39,71262,0.841214,36,1211
62,2026-08-09,3.66,13983816,40,68153,0.804514,41,1166
62,2026-08-09,3.66,13983816,41,70588,0.833258,37,1177
62,2026-08-09,3.66,13983816,42,68906,0.813403,39,1238
62,2026-08-09,3.66,13983816,43,64540,0.761864,46,1224
62,2026-08-09,3.66,13983816,44,67466,0.796404,42,1296
62,2026-08-09,3.66,13983816,45,63098,0.744842,47,1240
62,2026-08-09,3.66,13983816,46,64900,0.766114,45,1250
62,2026-08-09,3.66,13983816,47,65927,0.778237,43,1217
62,2026-08-09,3.66,13983816,48,62573,0.738645,48,1271
62,2026-08-09,3.66,13983816,49,68280,0.806013,40,1275
