snapshot_draw,snapshot_date,unique_coverage_pct,total_combinations,number,played_count,played_vs_mean,popularity_rank,all_time_drawn_count
62,2026-08-09,3.57,5245786,1,32941,0.901696,31,876
62,2026-08-09,3.57,5245786,2,33583,0.919269,29,852
62,2026-08-09,3.57,5245786,3,40888,1.119229,8,847
62,2026-08-09,3.57,5245786,4,40036,1.095907,10,880
62,2026-08-09,3.57,5245786,5,39435,1.079456,12,848
62,2026-08-09,3.57,5245786,6,37858,1.036289,19,810
62,2026-08-09,3.57,5245786,7,46503,1.272929,1,914
62,2026-08-09,3.57,5245786,8,38167,1.044747,18,849
62,2026-08-09,3.57,5245786,9,42653,1.167543,3,828
62,2026-08-09,3.57,5245786,10,36287,0.993286,22,839
62,2026-08-09,3.57,5245786,11,41615,1.139129,5,852
62,2026-08-09,3.57,5245786,12,39129,1.071080,14,871
62,2026-08-09,3.57,5245786,13,39842,1.090597,11,813
62,2026-08-09,3.57,5245786,14,31776,0.869806,37,822
62,2026-08-09,3.57,5245786,15,31446,0.860773,39,851
62,2026-08-09,3.57,5245786,16,34777,0.951952,26,834
62,2026-08-09,3.57,5245786,17,41450,1.134613,6,861
62,2026-08-09,3.57,5245786,18,41682,1.140963,4,862
62,2026-08-09,3.57,5245786,19,41372,1.132478,7,894
62,2026-08-09,3.57,5245786,20,34161,0.935091,28,820
62,2026-08-09,3.57,5245786,21,36543,1.000293,21,882
62,2026-08-09,3.57,5245786,22,32864,0.899588,32,781
62,2026-08-09,3.57,5245786,23,38325,1.049072,17,874
62,2026-08-09,3.57,5245786,24,39424,1.079155,13,866
62,2026-08-09,3.57,5245786,25,38772,1.061308,15,887
62,2026-08-09,3.57,5245786,26,36907,1.010257,20,843
62,2026-08-09,3.57,5245786,27,40699,1.114056,9,848
62,2026-08-09,3.57,5245786,28,35311,0.966570,24,819
62,2026-08-09,3.57,5245786,29,31901,0.873228,36,834
62,2026-08-09,3.57,5245786,30,34495,0.944233,27,862
62,2026-08-09,3.57,5245786,31,36010,0.985703,23,877
62,2026-08-09,3.57,5245786,32,33204,0.908895,30,799
62,2026-08-09,3.57,5245786,33,38465,1.052904,16,835
62,2026-08-09,3.57,5245786,34,32140,0.879770,35,859
62,2026-08-09,3.57,5245786,35,28702,0.785661,41,850
62,2026-08-09,3.57,5245786,36,27862,0.762668,42,864
62,2026-08-09,3.57,5245786,37,30343,0.830580,40,822
62,2026-08-09,3.57,5245786,38,31613,0.865344,38,858
62,2026-08-09,3.57,5245786,39,32745,0.896330,33,816
62,2026-08-09,3.57,5245786,40,32186,0.881029,34,879
62,2026-08-09,3.57,5245786,41,35204,0.963641,25,806
62,2026-08-09,3.57,5245786,42,45040,1.232882,2,842
