draw_no,date,n1,n2,n3,n4,n5,n6
74,2026-09-20,1,26,27,34,45,48
73,2026-09-17,9,10,26,33,35,46
,,5,14,16,20,25,29
,,9,16,18,22,30,37
,,6,9,19,25,30,38
,,8,16,20,35,38,47
,,2,9,10,13,25,46
,,1,8,15,17,41,43
,,6,17,25,35,38,48
,,4,12,15,16,30,39
,,2,17,20,34,38,39
,,4,11,13,20,39,47
,,2,17,21,29,34,36
,,14,33,35,37,39,43
,,4,19,20,27,28,34
,,1,7,8,14,37,44
,,8,25,30,32,33,48
,,5,10,17,20,42,47
,,16,29,35,37,44,47
,,12,17,23,30,38,41
,,4,11,21,28,36,49
,,8,9,12,13,33,38
,,2,4,17,33,35,38
,,5,11,44,46,47,48
,,6,13,16,19,42,44
,,22,26,28,29,40,42
,,1,7,8,14,29,42
,,1,10,11,15,16,37
,,1,9,26,30,39,43
,,13,17,28,35,37,49
,,9,17,29,39,42,49
,,2,6,15,19,26,35
,,8,9,38,43,45,46
,,3,17,33,36,39,45
,,1,5,7,32,46,49
,,5,7,13,31,38,42
,,2,23,24,27,37,38
,,3,8,13,20,42,49
,,13,14,23,27,36,42
,,2,8,18,20,26,42
,,8,11,26,30,36,38
,,2,7,11,16,23,30
,,9,19,37,40,41,47
,,11,18,21,38,48,49
,,2,4,8,14,28,43
,,1,6,21,22,39,45
,,1,6,7,12,13,19
,,13,18,23,38,40,49
,,20,25,27,29,30,46
,,3,12,16,23,35,40
,,12,22,28,30,33,49
,,23,24,33,38,42,48
,,1,3,12,40,44,49
,,1,4,24,30,34,37
,,3,4,13,22,33,48
,,5,15,17,36,37,49
,,5,18,19,24,37,48
,,10,14,21,24,36,37
,,9,31,33,37,38,48
,,22,25,37,44,45,48
,,11,16,18,34,36,46
,,16,18,23,36,39,44
,,12,20,26,30,41,49
,,6,12,13,15,23,36
,,3,4,41,43,44,47
,,17,18,22,37,41,46
,,4,17,20,31,33,44
,,2,11,12,18,19,42
,,11,24,28,36,37,46
,,10,13,24,28,32,36
,,9,10,18,20,28,48
,,3,20,27,38,46,47
,,22,24,26,32,33,43
,,3,13,15,19,33,35
,,20,24,41,42,43,45
,,5,15,20,21,40,43
,,7,11,15,23,35,44
,,2,8,10,15,31,34
,,12,14,24,28,33,48
,,2,13,16,23,34,48
,,5,15,16,24,41,48
,,4,13,15,22,47,48
,,6,7,17,21,39,45
,,3,9,15,35,44,47
,,9,22,24,38,42,45
,,21,30,35,43,45,46
,,2,18,29,34,36,42
,,15,23,30,31,43,49
