game,mode,strength,draws,stake_eur,payout_eur,net_eur,roi,winning_draws,payout3_eur,payout4_eur,payout5_eur,payout6_eur,normalized_payout_eur,sharing_timing_eur,mean_best_hits
6/49,649_k22_4,0.0,12,44.0,18.4,-25.6,-0.581818,3,18.4,0,0,0,16.65,1.75,1.833333
6/49,649_k22_4,0.1,12,44.0,18.4,-25.6,-0.581818,3,18.4,0,0,0,16.65,1.75,1.916667
6/49,649_k22_4,0.2,12,44.0,18.4,-25.6,-0.581818,3,18.4,0,0,0,16.65,1.75,1.833333
6/49,649_k22_4,0.3,12,44.0,18.4,-25.6,-0.581818,3,18.4,0,0,0,16.65,1.75,1.833333
6/49,649_k22_6,0.0,12,66.0,18.4,-47.6,-0.721212,3,18.4,0,0,0,16.65,1.75,1.916667
6/49,649_k22_6,0.1,12,66.0,13.4,-52.6,-0.796970,2,13.4,0,0,0,11.10,2.30,1.916667
6/49,649_k22_6,0.2,12,66.0,71.9,5.9,0.089394,2,6.5,65.4,0,0,55.45,16.45,2.000000
6/49,649_k22_6,0.3,12,66.0,19.5,-46.5,-0.704545,3,19.5,0,0,0,16.65,2.85,2.000000
6/49,649_k22_11,0.0,12,121.0,40.3,-80.7,-0.666942,4,40.3,0,0,0,38.85,1.45,2.166667
6/49,649_k22_11,0.1,12,121.0,13.4,-107.6,-0.889256,2,13.4,0,0,0,11.10,2.30,1.916667
6/49,649_k22_11,0.2,12,121.0,32.5,-88.5,-0.731405,3,32.5,0,0,0,27.75,4.75,2.000000
6/49,649_k22_11,0.3,12,121.0,41.8,-79.2,-0.654545,5,41.8,0,0,0,38.85,2.95,2.166667
6/42,642_18,0.0,12,172.8,37.1,-135.7,-0.785301,8,37.1,0,0,0,35.00,2.10,2.666667
6/42,642_18,0.1,12,172.8,110.9,-61.9,-0.358218,5,21.3,89.6,0,0,95.40,15.50,2.583333
6/42,642_18,0.2,12,172.8,108.2,-64.6,-0.373843,7,22.5,85.7,0,0,59.95,48.25,2.666667
6/42,642_18,0.3,12,172.8,100.8,-72.0,-0.416667,7,28.8,72.0,0,0,102.40,-1.60,2.750000
6/42,642_30,0.0,12,288.0,55.9,-232.1,-0.805903,10,55.9,0,0,0,49.00,6.90,2.833333
6/42,642_30,0.1,12,288.0,2927.0,2639.0,9.163194,9,29.9,54.1,2843.0,0,2402.75,524.25,3.000000
6/42,642_30,0.2,12,288.0,117.3,-170.7,-0.592708,7,31.6,85.7,0,0,66.95,50.35,2.666667
6/42,642_30,0.3,12,288.0,126.6,-161.4,-0.560417,8,40.9,85.7,0,0,73.95,52.65,2.750000
6/42,642_50,0.0,12,480.0,275.6,-204.4,-0.425833,11,98.0,177.6,0,0,200.85,74.75,3.166667
6/42,642_50,0.1,12,480.0,187.1,-292.9,-0.610208,9,63.6,123.5,0,0,130.40,56.70,2.916667
6/42,642_50,0.2,12,480.0,164.3,-315.7,-0.657708,9,78.6,85.7,0,0,105.45,58.85,2.833333
6/42,642_50,0.3,12,480.0,126.8,-353.2,-0.735833,8,89.0,37.8,0,0,112.45,14.35,2.750000
