year,sequence_in_year,n1,n2,n3,n4,n5,n6
2020,1,4,6,10,33,35,39
2020,2,16,19,21,25,28,35
2020,3,5,16,27,33,35,39
2020,4,3,7,12,29,33,35
2020,5,2,20,21,27,34,35
2020,6,7,14,15,27,28,35
2020,7,3,9,21,24,28,33
2020,8,1,10,20,26,33,42
2020,9,16,19,26,29,38,42
2020,10,1,5,16,18,25,38
2020,11,4,12,24,27,40,42
2020,12,3,15,17,19,28,37
2020,13,1,5,8,24,26,39
2020,14,3,4,5,14,19,39
2020,15,2,11,21,25,29,40
2020,16,6,10,15,16,32,33
2020,17,5,6,15,32,34,41
2020,18,6,19,25,32,34,42
2020,19,4,13,16,28,32,34
2020,20,10,14,15,22,29,34
2020,21,2,4,5,10,20,21
2020,22,11,19,24,32,37,39
2020,23,2,10,16,22,31,39
2020,24,2,6,15,18,30,42
2020,25,1,4,18,24,28,38
2020,26,7,12,17,36,38,40
2020,27,6,9,30,36,37,41
2020,28,14,26,29,31,35,39
2020,29,2,7,9,28,40,41
2020,30,10,17,18,26,34,37
2020,31,13,16,26,27,30,41
2020,32,13,21,25,27,32,36
2020,33,2,13,19,24,32,33
2020,34,13,26,29,31,32,40
2020,35,15,19,31,32,36,38
2020,36,20,22,24,28,32,41
2020,37,3,6,13,27,29,39
2020,38,19,22,26,29,32,35
2020,39,7,13,25,27,30,33
2020,40,2,9,12,21,25,28
2020,41,7,11,24,26,30,34
2020,42,4,14,16,28,33,37
2020,43,1,5,23,30,35,38
2020,44,4,5,6,18,29,30
2020,45,15,16,21,27,37,41
2020,46,1,5,8,10,27,29
2020,47,9,21,29,31,36,41
2020,48,7,25,28,30,36,42
2020,49,9,17,28,29,31,39
2020,50,7,17,20,37,40,42
2020,51,10,13,17,35,40,42
2020,52,1,3,7,24,31,37
2020,53,2,12,14,25,29,35
2020,54,5,8,17,21,24,34
2020,55,8,16,20,22,26,36
2020,56,2,12,23,24,26,37
2020,57,2,18,24,25,26,39
2020,58,1,11,14,21,22,30
2020,59,8,12,24,34,38,41
2020,60,8,10,21,29,35,36
2020,61,16,18,19,33,35,38
2020,62,4,32,35,38,39,41
2020,63,5,9,15,17,21,36
2020,64,12,20,27,31,38,39
2020,65,5,11,22,32,34,42
2020,66,8,10,27,28,32,38
2020,67,5,14,24,32,36,37
2020,68,8,10,20,23,26,41
2020,69,8,16,22,23,26,41
2020,70,6,20,21,32,38,41
2020,71,1,12,15,26,33,36
2020,72,1,17,21,26,33,42
2020,73,12,15,21,25,32,34
2020,74,4,19,25,26,27,34
2020,75,14,15,16,19,26,29
2020,76,1,10,16,19,20,25
2020,77,14,18,19,24,37,39
2020,78,2,16,23,24,33,42
2020,79,5,10,25,26,30,41
2020,80,1,8,15,20,21,32
2020,81,2,4,7,24,27,40
2020,82,15,17,20,22,29,35
2020,83,2,5,9,15,35,36
2020,84,1,4,11,31,39,40
2020,85,3,16,21,34,38,40
2020,86,1,7,23,26,28,32
2020,87,4,6,14,15,35,39
2020,88,12,18,19,31,36,37
2020,89,11,12,23,27,36,40
2020,90,2,10,20,25,36,39
2020,91,7,12,19,26,32,33
2020,92,12,23,24,31,32,35
2020,93,11,27,36,38,39,41
2020,94,13,19,20,22,31,41
2020,95,3,11,24,26,31,41
2020,96,4,6,9,20,30,37
2020,97,5,11,14,24,26,30
2020,98,14,15,20,38,40,41
2020,99,1,6,9,12,16,20
2020,100,2,4,9,10,28,34
2020,101,9,12,17,33,38,41
2020,102,1,18,24,34,36,42
2020,103,5,8,29,31,36,37
2020,104,7,8,16,26,31,41
2020,105,2,7,10,22,33,39
2021,1,3,5,22,30,36,39
2021,2,3,14,15,19,29,33
2021,3,12,22,25,34,37,41
2021,4,6,8,9,23,37,40
2021,5,12,17,27,28,33,36
2021,6,3,17,21,27,39,41
2021,7,9,10,13,16,17,21
2021,8,1,3,11,15,16,29
2021,9,10,20,21,22,26,28
2021,10,7,11,16,18,37,41
2021,11,6,10,16,23,39,42
2021,12,20,23,26,33,35,37
2021,13,2,9,15,17,26,30
2021,14,2,4,10,15,22,37
2021,15,11,12,20,26,32,35
2021,16,1,14,15,23,35,40
2021,17,17,21,24,37,39,40
2021,18,2,4,10,15,35,42
2021,19,1,19,24,25,40,42
2021,20,5,9,15,25,32,37
2021,21,7,10,17,18,24,31
2021,22,13,15,24,27,33,40
2021,23,6,10,25,26,29,30
2021,24,2,5,17,33,36,37
2021,25,6,9,19,28,33,35
2021,26,3,10,17,27,38,42
2021,27,13,21,23,29,34,36
2021,28,3,8,10,19,32,41
2021,29,6,12,15,30,36,41
2021,30,2,3,4,6,24,33
2021,31,9,14,19,25,33,36
2021,32,13,23,27,28,30,39
2021,33,7,11,20,27,36,40
2021,34,9,24,26,29,39,41
2021,35,3,13,16,28,36,39
2021,36,5,22,27,28,30,34
2021,37,1,19,22,31,36,42
2021,38,1,8,29,33,34,36
2021,39,4,10,14,27,37,42
2021,40,4,9,24,33,34,40
2021,41,7,8,12,14,26,39
2021,42,4,8,23,31,38,41
2021,43,7,8,11,25,27,37
2021,44,1,2,16,17,22,26
2021,45,2,14,17,27,28,32
2021,46,3,8,13,21,23,40
2021,47,6,15,20,27,28,41
2021,48,13,15,35,36,38,40
2021,49,1,2,16,24,31,39
2021,50,2,15,25,27,33,37
2021,51,2,3,4,5,25,35
2021,52,15,16,17,24,28,42
2021,53,3,14,27,32,38,41
2021,54,5,14,19,25,29,38
2021,55,14,17,19,22,29,37
2021,56,10,19,21,23,36,41
2021,57,1,2,15,26,29,42
2021,58,3,23,34,37,39,40
2021,59,9,12,15,21,28,41
2021,60,4,10,29,31,40,41
2021,61,1,19,21,25,27,42
2021,62,7,19,22,24,25,32
2021,63,10,12,13,14,23,28
2021,64,26,30,34,36,37,41
2021,65,7,22,26,29,33,37
2021,66,2,15,18,22,27,40
2021,67,4,16,20,27,35,40
2021,68,3,5,7,15,27,31
2021,69,7,9,12,37,41,42
2021,70,3,15,21,22,25,29
2021,71,3,10,12,13,19,27
2021,72,2,7,9,17,24,25
2021,73,18,27,28,29,36,40
2021,74,2,13,16,20,31,37
2021,75,1,8,15,26,32,37
2021,76,3,12,16,17,31,36
2021,77,7,12,16,28,29,42
2021,78,3,5,7,8,12,30
2021,79,4,15,23,27,34,35
2021,80,7,10,14,18,26,34
2021,81,1,7,8,20,29,31
2021,82,12,24,31,33,34,42
2021,83,2,6,8,9,15,23
2021,84,11,12,17,18,23,37
2021,85,3,6,11,20,25,34
2021,86,7,11,15,25,35,36
2021,87,9,10,11,33,38,40
2021,88,3,10,12,23,29,31
2021,89,2,15,21,39,40,41
2021,90,2,6,10,25,36,40
2021,91,5,21,34,38,39,42
2021,92,5,25,27,28,30,40
2021,93,1,8,17,25,41,42
2021,94,2,6,10,32,37,38
2021,95,2,14,19,22,34,42
2021,96,17,20,21,28,32,34
2021,97,2,16,17,26,37,40
2021,98,3,15,17,27,31,38
2021,99,11,17,21,28,38,39
2021,100,5,16,19,32,34,40
2021,101,23,24,28,30,34,35
2021,102,2,11,12,15,38,39
2021,103,2,13,15,25,35,38
2021,104,8,10,13,18,31,39
2022,1,16,22,26,27,30,40
2022,2,17,19,21,32,33,39
2022,3,3,9,27,30,32,36
2022,4,3,17,18,25,26,40
2022,5,1,4,11,19,26,31
2022,6,13,14,16,19,32,39
2022,7,2,24,30,31,39,40
2022,8,16,17,30,32,34,37
2022,9,13,18,20,21,27,31
2022,10,12,14,18,31,38,40
2022,11,10,12,20,23,36,38
2022,12,1,3,9,14,23,32
2022,13,5,14,24,26,37,42
2022,14,1,5,10,19,31,39
2022,15,3,10,19,33,35,37
2022,16,6,12,20,21,28,37
2022,17,5,6,17,21,24,26
2022,18,4,6,9,13,15,42
2022,19,8,10,11,18,20,38
2022,20,2,4,26,30,33,37
2022,21,3,7,15,28,31,41
2022,22,1,7,12,18,21,33
2022,23,13,22,29,32,35,40
2022,24,8,13,25,27,33,37
2022,25,3,11,15,16,24,41
2022,26,13,15,20,29,33,38
2022,27,4,7,13,16,30,33
2022,28,1,10,12,21,29,41
2022,29,1,14,19,20,27,28
2022,30,3,13,16,17,24,37
2022,31,4,7,14,19,31,41
2022,32,10,11,13,24,30,37
2022,33,5,6,12,18,31,39
2022,34,19,21,24,29,30,41
2022,35,6,7,13,15,36,41
2022,36,6,7,10,30,31,35
2022,37,7,8,12,33,41,42
2022,38,8,9,15,18,27,39
2022,39,1,16,21,32,36,39
2022,40,1,6,9,11,29,41
2022,41,5,13,19,27,30,31
2022,42,9,13,20,23,26,28
2022,43,7,17,22,25,31,34
2022,44,8,9,10,11,22,34
2022,45,5,6,7,13,22,32
2022,46,2,15,38,39,40,42
2022,47,4,9,23,26,31,39
2022,48,2,4,19,30,31,36
2022,49,26,29,35,36,37,40
2022,50,7,8,12,19,34,35
2022,51,1,4,8,17,18,36
2022,52,10,16,17,18,24,27
2022,53,8,9,27,33,37,38
2022,54,6,8,23,29,32,42
2022,55,5,6,9,10,36,42
2022,56,4,7,10,12,38,39
2022,57,1,11,30,32,34,41
2022,58,2,4,8,22,26,36
2022,59,12,17,26,31,35,41
2022,60,1,4,11,22,25,40
2022,61,3,10,15,25,33,38
2022,62,1,20,25,27,35,41
2022,63,3,10,33,35,37,39
2022,64,8,13,20,32,37,40
2022,65,15,16,17,25,35,40
2022,66,1,17,21,38,39,41
2022,67,3,12,15,16,23,36
2022,68,6,8,10,15,41,42
2022,69,4,17,19,20,33,42
2022,70,3,4,12,20,22,34
2022,71,5,8,11,34,38,42
2022,72,11,21,22,33,34,37
2022,73,8,9,14,20,25,30
2022,74,9,11,17,24,31,33
2022,75,2,5,6,36,37,40
2022,76,6,11,21,25,31,41
2022,77,5,6,10,24,34,41
2022,78,3,6,11,15,17,34
2022,79,16,24,29,30,33,40
2022,80,6,9,11,22,24,40
2022,81,1,9,17,27,38,41
2022,82,1,5,22,29,33,40
2022,83,4,13,16,19,25,32
2022,84,4,6,16,34,38,40
2022,85,1,14,21,23,32,36
2022,86,17,23,28,33,36,42
2022,87,8,10,11,13,35,36
2022,88,2,4,15,18,31,42
2022,89,6,9,18,25,29,37
2022,90,15,19,20,29,34,40
2022,91,7,10,28,30,32,35
2022,92,7,18,19,25,30,38
2022,93,8,9,17,23,27,35
2022,94,2,7,19,27,29,37
2022,95,2,5,6,28,32,42
2022,96,4,12,27,33,36,38
2022,97,5,6,9,29,37,42
2022,98,7,20,25,26,36,42
2022,99,13,23,26,35,39,40
2022,100,3,16,19,28,36,41
2022,101,2,18,19,21,25,35
2022,102,7,8,10,24,29,36
2022,103,3,18,20,21,30,39
2022,104,3,10,16,24,29,35
2023,1,4,6,9,12,26,38
2023,2,8,15,18,28,33,40
2023,3,16,31,34,35,37,42
2023,4,10,14,15,22,30,32
2023,5,9,12,19,27,28,31
2023,6,7,17,19,21,22,28
2023,7,3,15,17,28,37,41
2023,8,7,10,11,21,28,40
2023,9,4,8,12,16,34,39
2023,10,3,9,24,32,35,36
2023,11,3,8,10,12,18,32
2023,12,6,12,13,26,29,42
2023,13,3,4,20,23,30,35
2023,14,2,10,18,33,38,40
2023,15,2,3,11,17,30,36
2023,16,1,3,6,8,13,15
2023,17,5,8,14,17,22,23
2023,18,6,13,15,17,32,38
2023,19,4,7,27,28,29,37
2023,20,2,18,19,20,21,25
2023,21,8,12,26,29,38,40
2023,22,2,10,15,18,28,41
