draw_no,date,jackpot_eur,winners6,payout6_eur,winners5,payout5_eur,winners4,payout4_eur,winners3,payout3_eur,source_url
74,2026-09-20,1218110.32,0,0.00,8,2344.30,529,35.50,7959,3.40,https://info.toto.bg/results/6x42/2026-74
73,2026-09-17,1188103.92,0,0.00,14,1267.60,469,37.80,7857,3.20,https://info.toto.bg/results/6x42/2026-73
72,2026-09-13,1159709.53,0,0,6,3152.60,444,42.60,6848,4,https://info.toto.bg/results/6x42/2026-72
71,2026-09-10,1129445.08,0,0,6,2843,199,85.70,4382,5.60,https://info.toto.bg/results/6x42/2026-71
70,2026-09-06,1102152.09,0,0,11,1673.70,487,37.80,8072,3.30,https://info.toto.bg/results/6x42/2026-70
69,2026-09-03,1072695.94,0,0,6,2771.80,326,51,5972,4,https://info.toto.bg/results/6x42/2026-69
68,2026-08-30,1046086.94,0,0,7,2574.80,450,40.10,7444,3.50,https://info.toto.bg/results/6x42/2026-68
67,2026-08-27,1017248.81,0,0,14,1178.40,487,33.90,6892,3.40,https://info.toto.bg/results/6x42/2026-67
66,2026-08-23,990852.61,0,0,4,4417.60,339,52.10,6617,3.80,https://www.bgdnes.bg/index.php/sport/article/23438758
65,2026-08-20,962579.85,0,0,8,2056.20,304,54.10,5586,4.20,https://info.toto.bg/results/6x42/2026-65
64,2026-08-16,936260.25,0,0,8,2247.40,499,36,7713,3.30,https://info.toto.bg/results/6x42/2026-64
63,2026-08-13,907493.57,0,0,7,2327.30,447,36.50,6711,3.50,https://info.toto.bg/results/6x42/2026-63
