line,pos1,pos2,pos3,pos4,pos5,pos6
1,2,5,8,14,22,28
2,1,5,7,15,18,25
3,4,8,9,12,24,26
4,4,6,7,13,19,23
5,1,3,6,16,17,21
6,2,3,10,11,20,27
7,11,13,16,18,26,28
8,11,12,19,21,22,27
9,14,17,20,21,23,25
10,1,8,10,13,24,27
11,3,15,16,22,23,24
12,4,10,14,16,17,18
13,6,9,10,15,25,26
14,3,7,9,11,14,19
15,1,2,12,17,24,28
16,3,5,12,13,25,28
17,5,7,8,20,21,26
18,2,6,12,15,18,20
19,1,4,15,23,27,28
20,5,6,8,11,17,18
21,2,4,7,17,25,27
22,10,16,19,20,24,28
23,12,13,14,15,16,27
24,1,5,9,13,17,22
25,2,5,16,19,21,25
26,1,8,14,19,25,26
27,1,11,15,20,21,24
28,6,9,20,21,22,28
29,4,5,10,22,23,25
30,2,6,7,10,14,24
31,8,9,17,19,20,27
32,6,8,9,11,16,23
33,4,6,11,14,25,28
34,1,7,9,10,26,28
35,3,7,22,25,26,27
36,3,12,13,17,18,19
37,3,4,8,13,21,24
38,10,18,21,22,24,26
39,2,4,5,9,11,12
40,2,3,9,17,23,26
41,7,18,21,23,27,28
42,1,10,11,18,19,23
43,4,7,14,16,20,22
44,11,15,17,19,22,26
45,2,5,8,13,15,23
46,7,8,12,16,18,22
47,3,7,10,13,15,21
48,5,10,12,14,23,26
49,2,9,13,20,24,25
50,4,5,6,16,24,26
51,5,9,14,18,24,27
52,3,4,9,18,22,28
53,2,3,6,8,27,28
54,1,13,18,20,23,26
55,8,15,17,19,21,28
56,7,12,20,23,24,27
57,2,6,11,13,21,22
58,10,12,15,17,20,22
59,2,9,10,12,16,21
60,1,3,6,14,15,23
61,1,11,12,16,25,26
62,5,6,7,12,15,19
63,6,16,17,24,25,27
64,6,13,19,20,26,27
65,1,2,4,10,15,19
66,3,4,18,20,24,25
67,5,11,19,20,23,28
68,2,14,16,19,23,27
69,7,13,14,24,26,28
70,1,9,19,23,24,25
71,4,5,17,21,26,28
72,4,11,13,15,18,27
73,3,5,8,10,14,16
74,1,4,6,10,12,22
75,2,7,8,11,16,24
76,7,9,15,16,20,28
77,8,10,11,13,22,25
78,1,2,11,14,26,27
79,3,5,14,18,20,21
80,9,15,17,18,21,25
81,3,8,12,20,22,23
82,1,3,7,17,22,24
83,3,5,10,15,17,27
84,8,9,12,13,14,28
85,7,8,11,14,17,23
86,8,15,18,19,24,26
87,4,9,13,16,19,22
88,4,6,8,12,21,25
89,1,16,18,22,27,28
90,7,10,12,19,20,25
91,5,6,14,17,19,22
92,3,5,11,13,23,24
93,2,4,9,14,21,23
94,3,9,16,18,26,27
95,1,4,7,12,14,18
96,12,15,16,21,23,26
97,2,6,10,18,25,28
98,10,11,21,24,25,28
99,1,2,8,9,13,18
100,1,5,7,19,21,27
101,6,7,11,12,17,28
102,8,15,22,24,25,28
103,1,4,8,16,17,20
104,9,10,13,20,23,27
105,2,7,12,19,26,28
106,2,3,12,15,22,25
107,1,10,14,21,22,27
108,14,15,17,20,24,26
109,2,5,7,10,13,17
110,1,2,6,7,22,23
111,3,4,10,19,26,28
112,3,6,9,10,17,24
113,3,6,11,16,20,25
114,9,14,16,22,25,26
115,13,17,18,22,23,25
116,1,2,3,8,21,26
117,6,7,8,10,18,20
118,5,6,21,23,24,27
119,4,7,8,9,15,22
120,1,3,4,9,25,27
121,4,13,14,19,21,25
122,5,10,11,15,16,22
123,2,4,5,15,18,26
124,1,5,6,19,24,28
125,3,11,12,18,21,24
126,2,4,20,22,27,28
127,5,6,7,9,14,25
128,5,12,16,17,27,28
129,3,7,13,16,17,20
130,2,14,15,18,19,28
