line,pos1,pos2,pos3,pos4,pos5,pos6
1,1,2,3,5,7,9
2,1,2,11,14,24,29
3,1,2,12,13,22,27
4,1,2,15,20,25,30
5,1,2,17,18,23,28
6,1,2,16,19,21,26
7,1,4,11,18,26,27
8,1,4,12,17,21,30
9,1,4,13,16,24,25
10,1,4,14,15,22,23
11,1,4,19,20,28,29
12,1,6,11,12,25,28
13,1,6,13,20,23,26
14,1,6,14,19,27,30
15,1,6,15,18,21,24
16,1,6,16,17,22,29
17,1,8,11,16,23,30
18,1,8,12,15,26,29
19,1,8,13,14,21,28
20,1,8,17,20,24,27
21,1,8,18,19,22,25
22,1,10,11,20,21,22
23,1,10,12,19,23,24
24,1,10,13,18,29,30
25,1,10,14,17,25,26
26,1,10,15,16,27,28
27,2,3,4,6,8,10
28,2,3,11,18,21,30
29,2,3,12,17,24,25
30,2,3,13,16,28,29
31,2,3,14,15,26,27
32,2,3,19,20,22,23
33,2,5,11,12,23,26
34,2,5,13,20,21,24
35,2,5,14,19,25,28
36,2,5,15,18,22,29
37,2,5,16,17,27,30
38,2,7,11,16,22,25
39,2,7,12,15,21,28
40,2,7,13,14,23,30
41,2,7,17,20,26,29
42,2,7,18,19,24,27
43,2,9,11,20,27,28
44,2,9,12,19,29,30
45,2,9,13,18,25,26
46,2,9,14,17,21,22
47,2,9,15,16,23,24
48,3,4,11,12,22,29
49,3,4,13,20,27,30
50,3,4,14,19,21,24
51,3,4,15,18,25,28
52,3,4,16,17,23,26
53,3,6,11,16,24,27
54,3,6,12,15,23,30
55,3,6,13,14,22,25
56,3,6,17,20,21,28
57,3,6,18,19,26,29
58,3,8,11,20,25,26
59,3,8,12,19,27,28
60,3,8,13,18,23,24
61,3,8,14,17,29,30
62,3,8,15,16,21,22
63,3,10,11,14,23,28
64,3,10,12,13,21,26
65,3,10,15,20,24,29
66,3,10,16,19,25,30
67,3,10,17,18,22,27
68,4,5,11,16,21,28
69,4,5,12,15,24,27
70,4,5,13,14,26,29
71,4,5,17,20,22,25
72,4,5,18,19,23,30
73,4,7,11,20,23,24
74,4,7,12,19,25,26
75,4,7,13,18,21,22
76,4,7,14,17,27,28
77,4,7,15,16,29,30
78,4,9,11,14,25,30
79,4,9,12,13,23,28
80,4,9,15,20,21,26
81,4,9,16,19,22,27
82,4,9,17,18,24,29
83,5,6,11,20,29,30
84,5,6,12,19,21,22
85,5,6,13,18,27,28
86,5,6,14,17,23,24
87,5,6,15,16,25,26
88,5,8,11,14,22,27
89,5,8,12,13,25,30
90,5,8,15,20,23,28
91,5,8,16,19,24,29
92,5,8,17,18,21,26
93,5,10,11,18,24,25
94,5,10,12,17,28,29
95,5,10,13,16,22,23
96,5,10,14,15,21,30
97,5,10,19,20,26,27
98,6,7,11,14,21,26
99,6,7,12,13,24,29
100,6,7,15,20,22,27
101,6,7,16,19,23,28
102,6,7,17,18,25,30
103,6,9,11,18,22,23
104,6,9,12,17,26,27
105,6,9,13,16,21,30
106,6,9,14,15,28,29
107,6,9,19,20,24,25
108,7,8,11,18,28,29
109,7,8,12,17,22,23
110,7,8,13,16,26,27
111,7,8,14,15,24,25
112,7,8,19,20,21,30
113,7,10,11,12,27,30
114,7,10,13,20,25,28
115,7,10,14,19,22,29
116,7,10,15,18,23,26
117,7,10,16,17,21,24
118,8,9,11,12,21,24
119,8,9,13,20,22,29
120,8,9,14,19,23,26
121,8,9,15,18,27,30
122,8,9,16,17,25,28
123,9,10,11,16,26,29
124,9,10,12,15,22,25
125,9,10,13,14,24,27
126,9,10,17,20,23,30
127,9,10,18,19,21,28
128,9,11,13,15,17,19
129,10,12,14,16,18,20
130,11,21,23,25,27,29
131,12,22,24,26,28,30
