pos1,pos2,pos3,pos4,pos5,pos6
1,2,3,4,5,6
1,2,4,5,17,26
1,2,5,13,14,28
1,2,5,20,21,27
1,3,5,13,14,17
1,3,5,20,26,27
1,4,5,13,14,21
1,4,5,20,27,28
1,5,6,8,21,26
1,5,6,13,14,26
1,5,6,17,20,27
1,5,13,14,20,27
1,5,17,21,26,28
2,3,4,6,14,27
2,3,13,21,26,27
2,3,17,20,27,28
2,4,13,20,21,28
2,6,13,14,17,21
2,6,14,20,26,28
3,6,13,17,20,26
4,6,13,17,27,28
4,6,20,21,26,27
4,8,13,14,26,28
4,8,14,17,20,21
7,8,9,10,11,12
7,8,11,12,16,23
7,8,11,15,18,19
7,8,11,22,24,25
7,9,10,11,19,25
7,9,11,15,18,23
7,9,11,16,22,24
7,10,11,15,16,18
7,10,11,22,23,24
7,11,12,15,18,25
7,11,12,19,22,24
7,11,15,18,22,24
7,11,16,19,23,25
8,9,10,12,18,24
8,9,15,16,24,25
8,9,19,22,23,24
8,10,15,18,23,25
8,10,16,18,19,22
8,12,15,19,22,25
9,10,15,16,22,23
9,12,15,16,18,19
9,12,18,22,23,25
10,12,15,19,23,24
10,12,16,22,24,25
14,17,21,26,27,28
16,18,19,23,24,25
